genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_009808295.1,PRJNA576774,ASM980829v1,Contig,na,SAMN13008415,2019-12-30,GCA_009808295.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808295.1,,yes,major,acidilactici,FAM19461,Agroscope,1254
GCF_009809055.1,PRJNA576774,ASM980905v1,Contig,na,SAMN13008376,2019-12-30,GCA_009809055.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809055.1,,yes,major,acidilactici,FAM19462,Agroscope,1254
GCF_009809125.1,PRJNA576774,ASM980912v1,Contig,na,SAMN13008372,2019-12-30,GCA_009809125.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809125.1,,yes,major,acidilactici,FAM19464,Agroscope,1254
GCF_009807835.1,PRJNA576774,ASM980783v1,Contig,na,SAMN13008324,2019-12-30,GCA_009807835.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807835.1,,yes,major,acidilactici,FAM18986,Agroscope,1254
GCF_009809895.1,PRJNA576774,ASM980989v1,Contig,na,SAMN13008331,2019-12-30,GCA_009809895.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809895.1,,yes,major,acidilactici,FAM18988,Agroscope,1254
GCF_016890175.1,PRJNA700124,ASM1689017v1,Scaffold,na,SAMN17825112,2021-02-15,GCA_016890175.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_016890175.1,,yes,major,acidilactici,C3,Jashore University of Science and Technology,1254
GCF_016890125.1,PRJNA700124,ASM1689012v1,Scaffold,na,SAMN17825113,2021-02-15,GCA_016890125.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_016890125.1,,yes,major,acidilactici,C6,Jashore University of Science and Technology,1254
GCF_002553675.1,PRJNA412075,ASM255367v1,Contig,na,SAMN07702371,2017-10-16,GCA_002553675.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_002553675.1,,yes,major,acidilactici,UMNPBX20,University of Minnesota,1254
GCF_011009695.1,PRJNA517196,ASM1100969v1,Contig,na,SAMN10822530,2020-02-25,GCA_011009695.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_011009695.1,,yes,major,acidilactici,E24,University of Surrey,1254
GCF_011009715.1,PRJNA517196,ASM1100971v1,Contig,na,SAMN10822531,2020-02-25,GCA_011009715.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_011009715.1,,yes,major,acidilactici,F7,University of Surrey,1254
GCF_009807935.1,PRJNA576774,ASM980793v1,Contig,na,SAMN13008321,2019-12-30,GCA_009807935.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807935.1,,yes,major,acidilactici,FAM19152,Agroscope,1254
GCF_009808975.1,PRJNA576774,ASM980897v1,Contig,na,SAMN13008380,2019-12-30,GCA_009808975.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808975.1,,yes,major,acidilactici,FAM19150,Agroscope,1254
GCF_004099675.1,PRJNA515210,ASM409967v1,Scaffold,na,SAMN10744163,2019-01-21,GCA_004099675.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_004099675.1,,yes,major,acidilactici,L8-A,Texas Tech University,1254
GCF_004099815.1,PRJNA515210,ASM409981v1,Scaffold,na,SAMN10744156,2019-01-21,GCA_004099815.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_004099815.1,,yes,major,acidilactici,L2-A,Texas Tech University,1254
GCF_009808145.1,PRJNA576774,ASM980814v1,Contig,na,SAMN13008304,2019-12-30,GCA_009808145.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808145.1,,yes,major,acidilactici,FAM18964,Agroscope,1254
GCF_018448735.1,PRJNA730352,ASM1844873v1,Contig,na,SAMN19229576,2021-05-22,GCA_018448735.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_018448735.1,,yes,major,acidilactici,LSF1-1,Chulalongkorn University,1254
GCF_020539305.1,PRJNA737800,ASM2053930v1,Contig,na,SAMN22165205,2021-10-20,GCA_020539305.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539305.1,,yes,major,acidilactici,MSK.2.77,University of Chicago,1254
GCF_020539325.1,PRJNA737800,ASM2053932v1,Contig,na,SAMN22165203,2021-10-20,GCA_020539325.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539325.1,,yes,major,acidilactici,MSK.2.62,University of Chicago,1254
GCF_020539365.1,PRJNA737800,ASM2053936v1,Contig,na,SAMN22165202,2021-10-20,GCA_020539365.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539365.1,,yes,major,acidilactici,MSK.2.27,University of Chicago,1254
GCF_020539885.1,PRJNA737800,ASM2053988v1,Contig,na,SAMN22165168,2021-10-20,GCA_020539885.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539885.1,,yes,major,acidilactici,MSK.2.97,University of Chicago,1254
GCF_020539925.1,PRJNA737800,ASM2053992v1,Contig,na,SAMN22165165,2021-10-20,GCA_020539925.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539925.1,,yes,major,acidilactici,MSK.2.86,University of Chicago,1254
GCF_020539935.1,PRJNA737800,ASM2053993v1,Contig,na,SAMN22165164,2021-10-20,GCA_020539935.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539935.1,,yes,major,acidilactici,MSK.2.8,University of Chicago,1254
GCF_020539965.1,PRJNA737800,ASM2053996v1,Contig,na,SAMN22165163,2021-10-20,GCA_020539965.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539965.1,,yes,major,acidilactici,MSK.2.74,University of Chicago,1254
GCF_020539985.1,PRJNA737800,ASM2053998v1,Contig,na,SAMN22165161,2021-10-20,GCA_020539985.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539985.1,,yes,major,acidilactici,MSK.2.67,University of Chicago,1254
GCF_020539995.1,PRJNA737800,ASM2053999v1,Contig,na,SAMN22165162,2021-10-20,GCA_020539995.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539995.1,,yes,major,acidilactici,MSK.2.7,University of Chicago,1254
GCF_020540025.1,PRJNA737800,ASM2054002v1,Contig,na,SAMN22165159,2021-10-20,GCA_020540025.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540025.1,,yes,major,acidilactici,MSK.2.6,University of Chicago,1254
GCF_020540035.1,PRJNA737800,ASM2054003v1,Contig,na,SAMN22165160,2021-10-20,GCA_020540035.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540035.1,,yes,major,acidilactici,MSK.2.64,University of Chicago,1254
GCF_020540065.1,PRJNA737800,ASM2054006v1,Contig,na,SAMN22165158,2021-10-20,GCA_020540065.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540065.1,,yes,major,acidilactici,MSK.2.55,University of Chicago,1254
GCF_020540105.1,PRJNA737800,ASM2054010v1,Contig,na,SAMN22165157,2021-10-20,GCA_020540105.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540105.1,,yes,major,acidilactici,MSK.2.53,University of Chicago,1254
GCF_020540145.1,PRJNA737800,ASM2054014v1,Contig,na,SAMN22165153,2021-10-20,GCA_020540145.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540145.1,,yes,major,acidilactici,MSK.2.3,University of Chicago,1254
GCF_020540165.1,PRJNA737800,ASM2054016v1,Contig,na,SAMN22165152,2021-10-20,GCA_020540165.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540165.1,,yes,major,acidilactici,MSK.2.21,University of Chicago,1254
GCF_020540185.1,PRJNA737800,ASM2054018v1,Contig,na,SAMN22165151,2021-10-20,GCA_020540185.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540185.1,,yes,major,acidilactici,MSK.2.2,University of Chicago,1254
GCF_020540205.1,PRJNA737800,ASM2054020v1,Contig,na,SAMN22165150,2021-10-20,GCA_020540205.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540205.1,,yes,major,acidilactici,MSK.2.11,University of Chicago,1254
GCF_020540245.1,PRJNA737800,ASM2054024v1,Contig,na,SAMN22165149,2021-10-20,GCA_020540245.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540245.1,,yes,major,acidilactici,MSK.2.1,University of Chicago,1254
GCF_020709035.1,PRJNA737800,ASM2070903v1,Contig,na,SAMN22165166,2021-11-01,GCA_020709035.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020709035.1,,yes,major,acidilactici,MSK.2.88,University of Chicago,1254
GCF_020539895.1,PRJNA737800,ASM2053989v1,Contig,na,SAMN22165167,2021-10-20,GCA_020539895.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020539895.1,,yes,major,acidilactici,MSK.2.9,University of Chicago,1254
GCF_020540115.1,PRJNA737800,ASM2054011v1,Contig,na,SAMN22165155,2021-10-20,GCA_020540115.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540115.1,,yes,major,acidilactici,MSK.2.5,University of Chicago,1254
GCF_020709065.1,PRJNA737800,ASM2070906v1,Contig,na,SAMN22165156,2021-11-01,GCA_020709065.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020709065.1,,yes,major,acidilactici,MSK.2.51,University of Chicago,1254
GCF_020540085.1,PRJNA737800,ASM2054008v1,Contig,na,SAMN22165154,2021-10-20,GCA_020540085.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_020540085.1,,yes,major,acidilactici,MSK.2.4,University of Chicago,1254
GCF_009808925.1,PRJNA576774,ASM980892v1,Contig,na,SAMN13008381,2019-12-30,GCA_009808925.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808925.1,,yes,major,acidilactici,FAM20579,Agroscope,1254
GCF_009910835.1,PRJNA544274,ASM991083v1,Contig,na,SAMN11831832,2020-01-21,GCA_009910835.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009910835.1,,yes,major,acidilactici,E1,University of Surrey,1254
GCF_011009675.1,PRJNA517196,ASM1100967v1,Contig,na,SAMN10822532,2020-02-25,GCA_011009675.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_011009675.1,,yes,major,acidilactici,I32,University of Surrey,1254
GCF_015555175.1,PRJNA637878,ASM1555517v1,Scaffold,na,SAMN15532400,2020-11-17,GCA_015555175.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_015555175.1,,yes,major,acidilactici,1001295B_180824_F12,Icahn School of Medicine at Mount Sinai,1254
GCF_013249135.1,PRJNA574342,ASM1324913v1,Contig,na,SAMN14848240,2020-06-02,GCA_013249135.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_013249135.1,,yes,major,acidilactici,BIO6314,Bioprox,1254
GCF_009809755.1,PRJNA576774,ASM980975v1,Contig,na,SAMN13008339,2019-12-30,GCA_009809755.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809755.1,,yes,major,acidilactici,FAM19136,Agroscope,1254
GCF_009809855.1,PRJNA576774,ASM980985v1,Contig,na,SAMN13008334,2019-12-30,GCA_009809855.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809855.1,,yes,major,acidilactici,FAM19133,Agroscope,1254
GCF_009808045.1,PRJNA576774,ASM980804v1,Contig,na,SAMN13008310,2019-12-30,GCA_009808045.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808045.1,,yes,major,acidilactici,FAM19134,Agroscope,1254
GCF_009808155.1,PRJNA576774,ASM980815v1,Contig,na,SAMN13008305,2019-12-30,GCA_009808155.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808155.1,,yes,major,acidilactici,FAM19139,Agroscope,1254
GCF_009809625.1,PRJNA576774,ASM980962v1,Contig,na,SAMN13008345,2019-12-30,GCA_009809625.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809625.1,,yes,major,acidilactici,FAM19149,Agroscope,1254
GCF_009809845.1,PRJNA576774,ASM980984v1,Contig,na,SAMN13008335,2019-12-30,GCA_009809845.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809845.1,,yes,major,acidilactici,FAM19135,Agroscope,1254
GCF_009808405.1,PRJNA576774,ASM980840v1,Contig,na,SAMN13008407,2019-12-30,GCA_009808405.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808405.1,,yes,major,acidilactici,FAM19141,Agroscope,1254
GCF_009808005.1,PRJNA576774,ASM980800v1,Contig,na,SAMN13008312,2019-12-30,GCA_009808005.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808005.1,,yes,major,acidilactici,FAM19140,Agroscope,1254
GCF_009809235.1,PRJNA576774,ASM980923v1,Contig,na,SAMN13008365,2019-12-30,GCA_009809235.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809235.1,,yes,major,acidilactici,FAM19151,Agroscope,1254
GCF_009808365.1,PRJNA576774,ASM980836v1,Contig,na,SAMN13008411,2019-12-30,GCA_009808365.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808365.1,,yes,major,acidilactici,FAM19142,Agroscope,1254
GCF_009809725.1,PRJNA576774,ASM980972v1,Scaffold,na,SAMN13008340,2019-12-30,GCA_009809725.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809725.1,,yes,major,acidilactici,FAM19148,Agroscope,1254
GCF_009807805.1,PRJNA576774,ASM980780v1,Scaffold,na,SAMN13008323,2019-12-30,GCA_009807805.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807805.1,,yes,major,acidilactici,FAM19138,Agroscope,1254
GCF_009809775.1,PRJNA576774,ASM980977v1,Scaffold,na,SAMN13008337,2019-12-30,GCA_009809775.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809775.1,,yes,major,acidilactici,FAM19137,Agroscope,1254
GCF_013375165.1,PRJNA640898,Unicycler,Scaffold,na,SAMN15337232,2020-06-28,GCA_013375165.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_013375165.1,,yes,major,acidilactici,IRZ12B,Padova university,1254
GCF_009809645.1,PRJNA576774,ASM980964v1,Contig,na,SAMN13008344,2019-12-30,GCA_009809645.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809645.1,,yes,major,acidilactici,FAM19466,Agroscope,1254
GCF_009809605.1,PRJNA576774,ASM980960v1,Scaffold,na,SAMN13008346,2019-12-30,GCA_009809605.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809605.1,,yes,major,acidilactici,FAM19460,Agroscope,1254
GCF_001672605.1,PRJNA321943,ASM167260v1,Contig,na,SAMN05162513,2016-06-21,GCA_001672605.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_001672605.1,,yes,major,acidilactici,SRCM100320,Microbial Institue for Fermentation Industry,1254
GCF_009808725.1,PRJNA576774,ASM980872v1,Contig,na,SAMN13008392,2019-12-30,GCA_009808725.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808725.1,,yes,major,acidilactici,FAM1430,Agroscope,1254
GCF_009809805.1,PRJNA576774,ASM980980v1,Contig,na,SAMN13008336,2019-12-30,GCA_009809805.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809805.1,,yes,major,acidilactici,FAM17420c2,Agroscope,1254
GCF_019583605.1,PRJNA544254,ASM1958360v1,Contig,na,SAMN11831041,2021-08-12,GCA_019583605.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_019583605.1,,yes,major,acidilactici,C5,University of Surrey,1254
GCF_009808915.1,PRJNA576774,ASM980891v1,Contig,na,SAMN13008383,2019-12-30,GCA_009808915.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808915.1,,yes,major,acidilactici,FAM13877,Agroscope,1254
GCF_009809705.1,PRJNA576774,ASM980970v1,Contig,na,SAMN13008342,2019-12-30,GCA_009809705.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809705.1,,yes,major,acidilactici,FAM17419c2,Agroscope,1254
GCF_009809065.1,PRJNA576774,ASM980906v1,Contig,na,SAMN13008375,2019-12-30,GCA_009809065.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809065.1,,yes,major,acidilactici,FAM17411,Agroscope,1254
GCF_009809465.1,PRJNA576774,ASM980946v1,Contig,na,SAMN13008354,2019-12-30,GCA_009809465.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809465.1,,yes,major,acidilactici,FAM17644,Agroscope,1254
GCF_006539025.1,PRJDB6046,ASM653902v1,Contig,na,SAMD00097159,2019-06-12,GCA_006539025.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_006539025.1,,yes,major,acidilactici,NBRC 12231,National Institute of Technology and Evaluation Biological Resource Center,1254
GCF_016890165.1,PRJNA700124,ASM1689016v1,Scaffold,na,SAMN17825114,2021-02-15,GCA_016890165.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_016890165.1,,yes,major,acidilactici,G11,Jashore University of Science and Technology,1254
GCF_009809215.1,PRJNA576774,ASM980921v1,Contig,na,SAMN13008368,2019-12-30,GCA_009809215.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809215.1,,yes,major,acidilactici,FAM20624,Agroscope,1254
GCF_009808505.1,PRJNA576774,ASM980850v1,Contig,na,SAMN13008402,2019-12-30,GCA_009808505.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808505.1,,yes,major,acidilactici,FAM19158,Agroscope,1254
GCF_009808445.1,PRJNA576774,ASM980844v1,Scaffold,na,SAMN13008405,2019-12-30,GCA_009808445.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808445.1,,yes,major,acidilactici,FAM19160,Agroscope,1254
GCF_009808865.1,PRJNA576774,ASM980886v1,Scaffold,na,SAMN13008384,2019-12-30,GCA_009808865.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808865.1,,yes,major,acidilactici,FAM19159,Agroscope,1254
GCF_009809245.1,PRJNA576774,ASM980924v1,Contig,na,SAMN13008366,2019-12-30,GCA_009809245.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809245.1,,yes,major,acidilactici,FAM20303,Agroscope,1254
GCF_009807765.1,PRJNA576774,ASM980776v1,Contig,na,SAMN13008326,2019-12-30,GCA_009807765.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807765.1,,yes,major,acidilactici,FAM20284,Agroscope,1254
GCF_009807875.1,PRJNA576774,ASM980787v1,Contig,na,SAMN13008322,2019-12-30,GCA_009807875.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807875.1,,yes,major,acidilactici,FAM20301,Agroscope,1254
GCF_009808555.1,PRJNA576774,ASM980855v1,Contig,na,SAMN13008400,2019-12-30,GCA_009808555.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808555.1,,yes,major,acidilactici,FAM20293,Agroscope,1254
GCF_009809105.1,PRJNA576774,ASM980910v1,Contig,na,SAMN13008373,2019-12-30,GCA_009809105.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809105.1,,yes,major,acidilactici,FAM20310,Agroscope,1254
GCF_009808245.1,PRJNA576774,ASM980824v1,Contig,na,SAMN13008300,2019-12-30,GCA_009808245.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808245.1,,yes,major,acidilactici,FAM17419c4,Agroscope,1254
GCF_009808325.1,PRJNA576774,ASM980832v1,Contig,na,SAMN13008414,2019-12-30,GCA_009808325.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808325.1,,yes,major,acidilactici,FAM17422,Agroscope,1254
GCF_009809885.1,PRJNA576774,ASM980988v1,Contig,na,SAMN13008332,2019-12-30,GCA_009809885.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809885.1,,yes,major,acidilactici,FAM17418,Agroscope,1254
GCF_009809255.1,PRJNA576774,ASM980925v1,Contig,na,SAMN13008363,2019-12-30,GCA_009809255.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809255.1,,yes,major,acidilactici,FAM19180,Agroscope,1254
GCF_009808905.1,PRJNA576774,ASM980890v1,Contig,na,SAMN13008382,2019-12-30,GCA_009808905.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808905.1,,yes,major,acidilactici,FAM22235,Agroscope,1254
GCF_009807775.1,PRJNA576774,ASM980777v1,Contig,na,SAMN13008325,2019-12-30,GCA_009807775.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807775.1,,yes,major,acidilactici,FAM22258,Agroscope,1254
GCF_009808415.1,PRJNA576774,ASM980841v1,Contig,na,SAMN13008406,2019-12-30,GCA_009808415.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808415.1,,yes,major,acidilactici,FAM22257,Agroscope,1254
GCF_009808475.1,PRJNA576774,ASM980847v1,Contig,na,SAMN13008404,2019-12-30,GCA_009808475.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808475.1,,yes,major,acidilactici,FAM22259,Agroscope,1254
GCF_009809445.1,PRJNA576774,ASM980944v1,Contig,na,SAMN13008355,2019-12-30,GCA_009809445.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809445.1,,yes,major,acidilactici,FAM22260,Agroscope,1254
GCF_015551895.1,PRJNA637878,ASM1555189v1,Scaffold,na,SAMN15532737,2020-11-17,GCA_015551895.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_015551895.1,,yes,major,acidilactici,1001270B_150601_H6,Icahn School of Medicine at Mount Sinai,1254
GCF_009807995.1,PRJNA576774,ASM980799v1,Contig,na,SAMN13008313,2019-12-30,GCA_009807995.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807995.1,,yes,major,acidilactici,FAM19155,Agroscope,1254
GCF_009808585.1,PRJNA576774,ASM980858v1,Contig,na,SAMN13008398,2019-12-30,GCA_009808585.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808585.1,,yes,major,acidilactici,FAM19156,Agroscope,1254
GCF_009808235.1,PRJNA576774,ASM980823v1,Contig,na,SAMN13008302,2019-12-30,GCA_009808235.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808235.1,,yes,major,acidilactici,FAM19614,Agroscope,1254
GCF_009809265.1,PRJNA576774,ASM980926v1,Scaffold,na,SAMN13008367,2019-12-30,GCA_009809265.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809265.1,,yes,major,acidilactici,FAM19619,Agroscope,1254
GCF_003571945.1,PRJNA478800,ASM357194v1,Contig,na,SAMN09531784,2018-09-17,GCA_003571945.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_003571945.1,,yes,major,acidilactici,GS1,Kangwon Natl. Univ.,1254
GCF_004100005.1,PRJNA515210,ASM410000v1,Scaffold,na,SAMN10744148,2019-01-21,GCA_004100005.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_004100005.1,,yes,major,acidilactici,L14-B,Texas Tech University,1254
GCF_017116945.1,PRJNA347895,ASM1711694v1,Contig,na,SAMN05898469,2021-03-01,GCA_017116945.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_017116945.1,,yes,major,acidilactici,175,Seoul National University,1254
GCF_009808055.1,PRJNA576774,ASM980805v1,Contig,na,SAMN13008309,2019-12-30,GCA_009808055.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808055.1,,yes,major,acidilactici,FAM19955,Agroscope,1254
GCF_009808755.1,PRJNA576774,ASM980875v1,Contig,na,SAMN13008391,2019-12-30,GCA_009808755.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808755.1,,yes,major,acidilactici,FAM19953,Agroscope,1254
GCF_009808495.1,PRJNA576774,ASM980849v1,Contig,na,SAMN13008403,2019-12-30,GCA_009808495.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808495.1,,yes,major,acidilactici,FAM20059,Agroscope,1254
GCF_009809135.1,PRJNA576774,ASM980913v1,Contig,na,SAMN13008370,2019-12-30,GCA_009809135.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809135.1,,yes,major,acidilactici,FAM20072,Agroscope,1254
GCF_009808835.1,PRJNA576774,ASM980883v1,Scaffold,na,SAMN13008386,2019-12-30,GCA_009808835.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808835.1,,yes,major,acidilactici,FAM19612,Agroscope,1254
GCF_009808765.1,PRJNA576774,ASM980876v1,Scaffold,na,SAMN13008389,2019-12-30,GCA_009808765.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808765.1,,yes,major,acidilactici,FAM20497,Agroscope,1254
GCF_009808565.1,PRJNA576774,ASM980856v1,Contig,na,SAMN13008399,2019-12-30,GCA_009808565.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808565.1,,yes,major,acidilactici,FAM19488,Agroscope,1254
GCF_009808795.1,PRJNA576774,ASM980879v1,Scaffold,na,SAMN13008388,2019-12-30,GCA_009808795.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808795.1,,yes,major,acidilactici,FAM19500,Agroscope,1254
GCF_009808135.1,PRJNA576774,ASM980813v1,Contig,na,SAMN13008306,2019-12-30,GCA_009808135.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808135.1,,yes,major,acidilactici,FAM17656,Agroscope,1254
GCF_009808985.1,PRJNA576774,ASM980898v1,Scaffold,na,SAMN13008379,2019-12-30,GCA_009808985.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009808985.1,,yes,major,acidilactici,FAM17420c1,Agroscope,1254
GCF_009809495.1,PRJNA576774,ASM980949v1,Contig,na,SAMN13008352,2019-12-30,GCA_009809495.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809495.1,,yes,major,acidilactici,FAM17708,Agroscope,1254
GCF_009807915.1,PRJNA576774,ASM980791v1,Contig,na,SAMN13008317,2019-12-30,GCA_009807915.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009807915.1,,yes,major,acidilactici,FAM19641,Agroscope,1254
GCF_009809765.1,PRJNA576774,ASM980976v1,Contig,na,SAMN13008338,2019-12-30,GCA_009809765.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809765.1,,yes,major,acidilactici,FAM19651,Agroscope,1254
GCF_009809045.1,PRJNA576774,ASM980904v1,Contig,na,SAMN13008374,2019-12-30,GCA_009809045.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_009809045.1,,yes,major,acidilactici,FAM19598,Agroscope,1254
GCF_015557285.1,PRJNA637878,ASM1555728v1,Scaffold,na,SAMN15533035,2020-11-17,GCA_015557285.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_015557285.1,,yes,major,acidilactici,1001287B_170213_G1,Icahn School of Medicine at Mount Sinai,1254
GCF_019390195.1,PRJNA682405,ASM1939019v1,Contig,na,SAMN16988767,2021-07-28,GCA_019390195.1,full,Pediococcus,Pediococcus acidilactici (firmicutes),GCF_019390195.1,,yes,major,acidilactici,40J,University College Cork,1254
